state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11,state_12,state_13,state_14,state_15,state_16,state_17,state_18,state_19,state_20,state_21,state_22,state_23,state_24,state_25,state_26,action_0,action_1,action_2,action_3,action_4,action_5,action_6,reward
0.0073467195,0.021198444,-0.02988287,0.057679214,0.00012728795,0.0010860714,0.021828905,0.021386385,0.3,0.0,0.01989222,1.0,0.0,0.0,0.48099506,1.4587725,-1.3869398,2.5922143,0.013926659,0.056003418,1.4435117,0.021386385,0.3,0.0,0.01989222,1.0,0.0,0.39670852,-1.0701243,-1.0372705,1.9865373,-3.8651555,6.800518,-2.5534825,-238.50345
0.014191978,0.04129418,-0.04401432,0.08202018,0.0007079423,0.0019372117,0.026544444,0.026039358,0.3,0.0,0.019892225,1.0,-9.882635e-13,0.0,0.6845258,2.009574,-1.4131448,2.4340959,0.058065437,0.08511404,0.4715538,0.026039358,0.3,0.0,0.019892225,1.0,-9.882635e-13,0.3965374,-1.0697311,-1.0374744,1.98624,-3.8648033,6.8009977,-2.5540352,-238.22754
0.022853047,0.06499575,-0.059901726,0.11168627,0.002075707,0.007341152,0.026188824,0.025739033,0.3,3.1064306e-13,0.019892229,1.0,-1.976527e-12,0.0,0.866107,2.3701568,-1.5887401,2.9666092,0.13677648,0.5403942,-0.035561893,0.025739033,0.3,3.1064306e-13,0.019892229,1.0,-1.976527e-12,0.39645588,-1.0695633,-1.0374689,1.9861197,-3.8647163,6.8009777,-2.5540738,-238.2413
0.03311693,0.09133386,-0.07447736,0.13942116,0.004822987,-0.0022127428,0.025833,0.025364617,0.3,-1.5532161e-13,0.01989223,1.0,-4.117765e-12,0.0,1.0263884,2.633811,-1.4575636,2.7734883,0.27472806,-0.9553897,-0.035582583,0.025364617,0.3,-1.5532161e-13,0.01989223,1.0,-4.117765e-12,0.39631253,-1.0693703,-1.0375164,1.9859529,-3.8643856,6.8009806,-2.554243,-238.25905
0.044987194,0.11907798,-0.08715567,0.16636467,0.0070744404,0.0081055295,0.025714627,0.025310561,0.3,-7.766078e-13,0.019892234,1.0,-5.764871e-12,0.0,1.1870264,2.774413,-1.2678313,2.6943512,0.22514528,1.0318273,-0.011837181,0.025310561,0.3,-7.766078e-13,0.019892234,1.0,-5.764871e-12,0.39636475,-1.069381,-1.0375109,1.9858468,-3.8641186,6.8009386,-2.5544095,-238.25903
0.058341984,0.1474881,-0.09590264,0.18644542,0.008709151,0.013617303,0.025701728,0.02528691,0.3,-1.5532155e-12,0.019892236,1.0,-3.788343e-12,0.0,1.3354785,2.8410113,-0.8746965,2.0080755,0.16347104,0.5511774,-0.0012898333,0.02528691,0.3,-1.5532155e-12,0.019892236,1.0,-3.788343e-12,0.39616686,-1.0691879,-1.0372832,1.9855655,-3.8633873,6.8008857,-2.555029,-238.25188
0.07288851,0.17587933,-0.100535005,0.19753632,0.0129371025,0.017769884,0.025702927,0.025257071,0.3,-7.7660794e-13,0.019892268,1.0,1.6471134e-13,0.0,1.4546531,2.8391232,-0.46323693,1.1090909,0.42279518,0.41525808,0.00011998744,0.025257071,0.3,-7.7660794e-13,0.019892268,1.0,1.6471134e-13,0.39592287,-1.069174,-1.0372021,1.9856547,-3.8629327,6.800886,-2.5554242,-238.2501
0.0887233,0.2035962,-0.10315347,0.20213977,0.01559004,0.01401031,0.025765706,0.02532155,0.3,-7.7660794e-13,0.019892279,1.0,1.6471073e-12,0.0,1.5834787,2.7716875,-0.2618461,0.46034467,0.26529372,-0.3759574,0.006277732,0.02532155,0.3,-7.7660794e-13,0.019892279,1.0,1.6471073e-12,0.3955689,-1.0692189,-1.0371102,1.9855995,-3.8620474,6.801033,-2.5560946,-238.2409
0.10572431,0.23020472,-0.10467875,0.20360896,0.017465863,0.0077053374,0.025777118,0.025352743,0.3,3.1064268e-13,0.019892301,1.0,4.9413295e-13,0.0,1.7001019,2.6608505,-0.152529,0.14691955,0.18758236,-0.6304972,0.001141293,0.025352743,0.3,3.1064268e-13,0.019892301,1.0,4.9413295e-13,0.3953578,-1.069277,-1.037355,1.985744,-3.8617725,6.8012476,-2.5562139,-238.24088
0.12380234,0.2553115,-0.105668396,0.20386401,0.017681116,0.0075857746,0.02569008,0.02530416,0.3,-1.5532202e-13,0.019892285,1.0,-2.3059467e-12,0.0,1.8078029,2.51068,-0.098964445,0.025504813,0.021525316,-0.011956372,-0.008703716,0.02530416,0.3,-1.5532202e-13,0.019892285,1.0,-2.3059467e-12,0.39492318,-1.0691993,-1.0375831,1.9855819,-3.8608785,6.8016863,-2.5567994,-238.24213
0.14268094,0.27874553,-0.106263235,0.20345365,0.01784264,0.009000741,0.025650883,0.02531027,0.3,4.6596407e-13,0.019892273,1.0,-2.3059462e-12,0.0,1.8878597,2.3434012,-0.059484236,-0.04103621,0.016152477,0.14149657,-0.0039197756,0.02531027,0.3,4.6596407e-13,0.019892273,1.0,-2.3059462e-12,0.3940845,-1.0689363,-1.0379045,1.9852952,-3.859057,6.8023453,-2.5580964,-238.23499
